Thread  	Address                 	Instruction                     	Result                                  	
00000B74	75923ED3                	Memory layout changed: 72 segments	Memory layout changed: 72 segments      	
00000B74	                        	                                	ST0=FFFFFFFFFFFFFFFF ST1=FFFFFFFFFFFFFFFF ST2=FFFFFFFFFFFFFFFF ST3=FFFFFFFFFFFFFFFF ST4=FFFFFFFFFFFFFFFF ST5=FFFFFFFFFFFFFFFF ST6=FFFFFFFFFFFFFFFF ST7=FFFFFFFFFFFFFFFF CTRL=FFFF CS=0023 DS=002B ES=002B FS=0053 GS=002B SS=002B EAX=00000001 EBX=0018FE40 ECX=87FE0000 EDX=0008E3C8 ESI=00000001 EDI=00400000 EBP=0018FF88 ESP=0018FEAC EFL=00000202 XMM0= XMM1= XMM2= XMM3= XMM4= XMM5= XMM6= XMM7= MXCSR=FFFFFFFF MM0= MM1= MM2= MM3= MM4= MM5= MM6= MM7= 	
00000B74	.text:loc_401736        	jz      short loc_40173B        	                                        	
00000B74	.text:00401738          	jnz     short loc_40173B        	                                        	
00000B74	.text:loc_40173B        	push    ebx                     	ESP=0018FEA8                            	
00000B74	.text:0040173C          	push    eax                     	ESP=0018FEA4                            	
00000B74	.text:0040173D          	jnz     short loc_401742        	                                        	
00000B74	.text:loc_401742        	mov     dword ptr [esp], 200000h	                                        	
00000B74	.text:00401749          	ror     dword ptr [esp], 1Fh    	                                        	
00000B74	.text:0040174D          	sub     dword ptr [esp], 0FFFFE8A5h	CF=1 AF=1                               	
00000B74	.text:00401754          	jnz     short locret_401758     	                                        	
00000B74	.text:locret_401758     	retn    4                       	ESP=0018FEAC                            	
00000B74	.text:0040175B          	push    eax                     	ESP=0018FEA8                            	
00000B74	.text:0040175C          	add     esp, 0FFFFFF24h         	ESP=0018FDCC PF=1 AF=0                  	
00000B74	.text:00401762          	jnz     short loc_401766        	                                        	
00000B74	.text:loc_401766        	mov     ebx, esp                	EBX=0018FDCC                            	
00000B74	.text:00401768          	mov     dword ptr [ebx+0D8h], 9FAB3165h	                                        	
00000B74	.text:00401772          	mov     dword ptr [ebx+0D4h], 3960C446h	                                        	
00000B74	.text:0040177C          	mov     dword ptr [ebx+0D0h], 0A8EF74F1h	                                        	
00000B74	.text:00401786          	mov     dword ptr [ebx+0CCh], 0FF9FE6B2h	                                        	
00000B74	.text:00401790          	mov     dword ptr [ebx+0C8h], 0BDB54632h	                                        	
00000B74	.text:0040179A          	mov     dword ptr [ebx+0C4h], 0EF26678Eh	                                        	
00000B74	.text:004017A4          	mov     dword ptr [ebx+0C0h], 0EB0DC9EBh	                                        	
00000B74	.text:loc_4017AE        	mov     dword ptr [ebx+0BCh], 4C96E345h	                                        	
00000B74	.text:004017B8          	mov     dword ptr [ebx+0B8h], 344A408Eh	                                        	
00000B74	.text:004017C2          	mov     ax, 6EBh                	EAX=000006EB                            	
00000B74	.text:004017C6          	xor     eax, eax                	EAX=00000000 CF=0 ZF=1                  	
00000B74	.text:004017C8          	jz      short loc_4017C4        	                                        	
00000B74	.text:loc_4017C4        	jmp     short loc_4017CC        	                                        	
00000B74	.text:loc_4017CC        	mov     dword ptr [ebx+0B4h], 1BE26065h	                                        	
